
SetupTitle, ExfoliatedMoS2_TGIdVg
PrimitiveTest, I/V Sweep
TestParameter, Measurement.Monitor.RangeRating, BY FULL RANGE, BY FULL RANGE, BY FULL RANGE, BY FULL RANGE
TestParameter, Measurement.Monitor.RangeRatingCoeff, 50, 50, 50, 50
TestParameter, Measurement.Timing.Hold, 0
TestParameter, Measurement.Timing.Delay, 0
TestParameter, Measurement.Adc.HighSpeed.Mode, AUTO
TestParameter, Measurement.Adc.HighSpeed.Coeff, 1
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 6
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, VTG
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, -1
TestParameter, Output.Graph.XAxis.Right, 1
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, false
TestParameter, Output.Graph.YAxis.Data, ID, ITG
TestParameter, Output.Graph.YAxis.Scale, Linear, Linear
TestParameter, Output.Graph.YAxis.Bottom, -0.1, -0.001
TestParameter, Output.Graph.YAxis.Top, 0.1, 0.001
TestParameter, Output.Graph.YAxis.Group, , 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true, false
TestParameter, Output.List.Data, VTG, ID, VD, Vbg, Ibg, ITG, IS
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 10/06/2025 13:27:07
MetaData, TestRecord.TestTarget, E41-A4
MetaData, TestRecord.IterationIndex, 4
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, 780dcd4e-8c07-485d-822a-2a680f748c92
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, VTG
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, false
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, -2
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, ID, ITG
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, , 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true, false
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Log, Log
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 1E-10, -1E-11
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 1E-06, -1E-14
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.66666666666666663
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, -0.073613766730401764
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.66666666666666663
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, -0.073613766730401764
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.66666666666666663
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, -0.073613766730401764
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.66666666666666663
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, -0.073613766730401764
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.66666666666666663
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, -0.073613766730401764
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU2:HR, Name=VTG, Direction=Double, Linear/Log=LINEAR, Start=-2 V, Stop=1 V, Step=15 mV, No. of Steps=201, Compliance=5 mA, Pwr Comp=OFF	[VAR2] Unit=SMU1:HR, Name=VD, Start=100 mV, Stop=1 V, Step=300 mV, No. of Steps=4, Compliance=5 mA, Pwr Comp=OFF	[CONSTANTS] Unit=SMU4:HR, Name=VS, Source Mode=V, Source=0 V, Compliance=100 mA	[CONSTANTS] Unit=SMU3:HR, Name=Vbg, Source Mode=V, Source=1 V, Compliance=100 mA
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, VD	0.1,0.4,0.7,1	0.1	0.3	4
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, VTG, ID, VD, Vbg, Ibg, ITG, IS
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, V, A, V, V, A, A, A
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, ExfoliatedMoS2_TGIdVg
Dimension1, 402, 402, 402, 402, 402, 402, 402
Dimension2, 4, 4, 4, 4, 4, 4, 4
DataName, VTG, VD, Vbg, ID, IS, ITG, Ibg
DataValue, -2, 0.1, 1, 7.8733E-10, -7.6601E-10, -2.75E-12, 7.7800000000000012E-12
DataValue, -1.985, 0.1, 1, 7.7479000000000007E-10, -7.7115000000000007E-10, -1.41E-12, 6.6300000000000006E-12
DataValue, -1.9700000000000002, 0.1, 1, 7.8308E-10, -7.7672000000000008E-10, -4.74E-12, 5.79E-12
DataValue, -1.955, 0.1, 1, 7.7321000000000006E-10, -7.6788E-10, -3.4400000000000003E-12, 9.07E-12
DataValue, -1.9400000000000002, 0.1, 1, 7.7160000000000011E-10, -7.6639000000000008E-10, -2.9E-12, 7.6800000000000012E-12
DataValue, -1.925, 0.1, 1, 7.7647000000000011E-10, -7.8286E-10, -4.22E-12, 4.32E-12
DataValue, -1.9100000000000001, 0.1, 1, 8.0816E-10, -8.0351E-10, -1E-13, 3.35E-12
DataValue, -1.895, 0.1, 1, 8.491600000000001E-10, -8.5884000000000011E-10, -2.4500000000000003E-12, 3.66E-12
DataValue, -1.8800000000000001, 0.1, 1, 8.7609E-10, -8.7524000000000007E-10, -2.9900000000000004E-12, 8.2000000000000014E-12
DataValue, -1.865, 0.1, 1, 8.8718E-10, -8.812100000000001E-10, -1.46E-12, 5.48E-12
DataValue, -1.85, 0.1, 1, 9.1245000000000009E-10, -9.1205000000000007E-10, -3.9800000000000004E-12, 3.4900000000000003E-12
DataValue, -1.8350000000000002, 0.1, 1, 9.0915000000000011E-10, -9.129E-10, 1.2000000000000002E-13, 2.9900000000000004E-12
DataValue, -1.82, 0.1, 1, 9.1504000000000008E-10, -9.226000000000001E-10, -1.69E-12, 3.7400000000000006E-12
DataValue, -1.8050000000000002, 0.1, 1, 9.4742E-10, -9.5167E-10, -2.2700000000000002E-12, 6.2300000000000007E-12
DataValue, -1.79, 0.1, 1, 9.7891E-10, -9.8202E-10, -1.21E-12, 4.26E-12
DataValue, -1.7750000000000001, 0.1, 1, 9.9469E-10, -9.9456000000000013E-10, -3.75E-12, 8.4000000000000006E-13
DataValue, -1.76, 0.1, 1, 1.0296800000000001E-09, -1.0232700000000001E-09, 1.5000000000000002E-13, 3.25E-12
DataValue, -1.745, 0.1, 1, 1.0417900000000002E-09, -1.05139E-09, -8.300000000000001E-13, 2.9400000000000004E-12
DataValue, -1.73, 0.1, 1, 1.10385E-09, -1.0932500000000001E-09, -2.0700000000000003E-12, 5.3200000000000008E-12
DataValue, -1.715, 0.1, 1, 1.10194E-09, -1.1033000000000001E-09, 1E-13, 3.76E-12
DataValue, -1.7000000000000002, 0.1, 1, 1.14044E-09, -1.1361100000000001E-09, -3.75E-12, 9.9E-13
DataValue, -1.685, 0.1, 1, 1.1572E-09, -1.1369E-09, -3.61E-12, 4.2000000000000003E-13
DataValue, -1.6700000000000002, 0.1, 1, 1.1559E-09, -1.167E-09, 5.6E-13, 2.11E-12
DataValue, -1.655, 0.1, 1, 1.201E-09, -1.1955E-09, -7.6000000000000009E-13, 2.06E-12
DataValue, -1.6400000000000001, 0.1, 1, 1.2259E-09, -1.2326E-09, -1.36E-12, 5.48E-12
DataValue, -1.625, 0.1, 1, 1.2727E-09, -1.2738E-09, -6.6E-13, 3.5900000000000003E-12
DataValue, -1.61, 0.1, 1, 1.2964E-09, -1.2989E-09, -1.9E-12, 1.3400000000000002E-12
DataValue, -1.595, 0.1, 1, 1.3173E-09, -1.3162E-09, 8.8000000000000009E-13, 1.41E-12
DataValue, -1.58, 0.1, 1, 1.3705E-09, -1.381E-09, -3.1600000000000003E-12, 5E-13
DataValue, -1.5650000000000002, 0.1, 1, 1.3713E-09, -1.3639E-09, 7.4000000000000008E-13, 2.72E-12
DataValue, -1.55, 0.1, 1, 1.4331E-09, -1.4272E-09, -9.5E-13, 1.5600000000000002E-12
DataValue, -1.5350000000000001, 0.1, 1, 1.4296E-09, -1.4201E-09, -7.6000000000000009E-13, 4.4900000000000005E-12
DataValue, -1.52, 0.1, 1, 1.4711E-09, -1.4489E-09, -2.9000000000000003E-13, 2.67E-12
DataValue, -1.5050000000000001, 0.1, 1, 1.4728E-09, -1.4685E-09, -1.73E-12, 1.8700000000000003E-12
DataValue, -1.49, 0.1, 1, 1.5188E-09, -1.5295E-09, 1.3400000000000002E-12, 1.8200000000000003E-12
DataValue, -1.475, 0.1, 1, 1.5978E-09, -1.5923E-09, -2.6000000000000002E-12, 8.2E-13
DataValue, -1.46, 0.1, 1, 1.63E-09, -1.6301E-09, 8.2E-13, 1.7100000000000002E-12
DataValue, -1.445, 0.1, 1, 1.6748E-09, -1.6805E-09, -3.1000000000000004E-13, 1.5800000000000001E-12
DataValue, -1.4300000000000002, 0.1, 1, 1.6972E-09, -1.715E-09, -5.2E-13, 4.73E-12
DataValue, -1.415, 0.1, 1, 1.7461E-09, -1.755E-09, -3.0000000000000005E-14, 2.74E-12
DataValue, -1.4000000000000001, 0.1, 1, 1.8064E-09, -1.8194E-09, -1.6200000000000002E-12, 2.4800000000000003E-12
DataValue, -1.385, 0.1, 1, 1.835E-09, -1.8438E-09, 1.4900000000000001E-12, 5.4E-13
DataValue, -1.37, 0.1, 1, 1.9188E-09, -1.9172E-09, -2.75E-12, 3.3E-13
DataValue, -1.355, 0.1, 1, 1.9665E-09, -1.9695E-09, 1.13E-12, 9.6000000000000015E-13
DataValue, -1.34, 0.1, 1, 2.0112E-09, -2.0247E-09, 1.6000000000000003E-13, 1.04E-12
DataValue, -1.325, 0.1, 1, 2.0711E-09, -2.0601E-09, -1.07E-12, 5.53E-12
DataValue, -1.31, 0.1, 1, 2.1246E-09, -2.1328E-09, 4.1E-13, 2.5000000000000003E-12
DataValue, -1.2950000000000002, 0.1, 1, 2.1714999999999998E-09, -2.1834E-09, -1.1500000000000002E-12, 1.8400000000000002E-12
DataValue, -1.28, 0.1, 1, 2.2526E-09, -2.2814E-09, 1.5800000000000001E-12, 6.2000000000000008E-13
DataValue, -1.2650000000000001, 0.1, 1, 2.3378E-09, -2.3092E-09, -2.5000000000000003E-12, -3.6000000000000003E-13
DataValue, -1.25, 0.1, 1, 2.405E-09, -2.3631E-09, 9.8E-13, 1.88E-12
DataValue, -1.235, 0.1, 1, 2.4524E-09, -2.4582E-09, -3.0000000000000005E-14, 5E-13
DataValue, -1.22, 0.1, 1, 2.5391E-09, -2.5378E-09, -4.2000000000000003E-13, 5.2000000000000005E-12
DataValue, -1.205, 0.1, 1, 2.6486E-09, -2.6008E-09, 9.8E-13, 2.34E-12
DataValue, -1.19, 0.1, 1, 2.5982E-09, -2.5843E-09, -7.9000000000000007E-13, 1.7200000000000001E-12
DataValue, -1.175, 0.1, 1, 2.6538E-09, -2.6378E-09, 1.6800000000000001E-12, 7.2000000000000006E-13
DataValue, -1.1600000000000001, 0.1, 1, 2.7378E-09, -2.7127E-09, -2.3300000000000004E-12, -9.1000000000000016E-13
DataValue, -1.145, 0.1, 1, 2.8245E-09, -2.8391E-09, 9.8E-13, 1.8200000000000003E-12
DataValue, -1.1300000000000001, 0.1, 1, 2.9714E-09, -2.9582E-09, 1.9000000000000002E-13, 4.4000000000000004E-13
DataValue, -1.115, 0.1, 1, 3.0737E-09, -3.0846E-09, -7E-14, 4.77E-12
DataValue, -1.1, 0.1, 1, 3.1278E-09, -3.1334E-09, 6.1E-13, 1.85E-12
DataValue, -1.085, 0.1, 1, 3.2544E-09, -3.259E-09, -8.8000000000000009E-13, -4.9E-13
DataValue, -1.07, 0.1, 1, 3.3238E-09, -3.3039E-09, 1.9200000000000003E-12, 4.5000000000000005E-13
DataValue, -1.0550000000000002, 0.1, 1, 3.406E-09, -3.4109E-09, -2.44E-12, -1.09E-12
DataValue, -1.04, 0.1, 1, 3.4983E-09, -3.4698E-09, 1.0500000000000002E-12, 9.3E-13
DataValue, -1.0250000000000001, 0.1, 1, 3.6175E-09, -3.634E-09, 4.9E-13, 3.6000000000000003E-13
DataValue, -1.01, 0.1, 1, 3.6748E-09, -3.6667E-09, 3.8000000000000005E-13, 3.97E-12
DataValue, -0.995, 0.1, 1, 3.7988E-09, -3.8138E-09, 7.2000000000000006E-13, 2.9600000000000003E-12
DataValue, -0.98000000000000009, 0.1, 1, 3.9688E-09, -3.9631E-09, -7E-13, 5.9E-13
DataValue, -0.96500000000000008, 0.1, 1, 4.0566E-09, -4.0702E-09, 2.1200000000000003E-12, 0
