
SetupTitle, ExfoliatedMoS2_TGIdVg
PrimitiveTest, I/V Sweep
TestParameter, Measurement.Monitor.RangeRating, BY FULL RANGE, BY FULL RANGE, BY FULL RANGE, BY FULL RANGE
TestParameter, Measurement.Monitor.RangeRatingCoeff, 50, 50, 50, 50
TestParameter, Measurement.Timing.Hold, 0
TestParameter, Measurement.Timing.Delay, 0
TestParameter, Measurement.Adc.HighSpeed.Mode, AUTO
TestParameter, Measurement.Adc.HighSpeed.Coeff, 1
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 6
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, VTG
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, -1
TestParameter, Output.Graph.XAxis.Right, 1
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, false
TestParameter, Output.Graph.YAxis.Data, ID, ITG
TestParameter, Output.Graph.YAxis.Scale, Linear, Linear
TestParameter, Output.Graph.YAxis.Bottom, -0.1, -0.001
TestParameter, Output.Graph.YAxis.Top, 0.1, 0.001
TestParameter, Output.Graph.YAxis.Group, , 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true, false
TestParameter, Output.List.Data, VTG, ID, VD, Vbg, Ibg, ITG, IS
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 10/06/2025 13:47:41
MetaData, TestRecord.TestTarget, E41-D14
MetaData, TestRecord.IterationIndex, 8
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, 9873b544-e103-4822-9831-497414276197
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, VTG
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, false
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, -2
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, ID, ITG
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, , 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true, false
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Log, Log
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 1E-10, -1E-11
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 1E-06, -1E-14
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.66666666666666663
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, -0.14516129032258052
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.66666666666666663
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, -0.14516129032258052
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.66666666666666663
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, -0.14516129032258052
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.66666666666666663
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, -0.14516129032258052
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.66666666666666663
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, -0.14516129032258052
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU2:HR, Name=VTG, Direction=Double, Linear/Log=LINEAR, Start=-2 V, Stop=1 V, Step=15 mV, No. of Steps=201, Compliance=5 mA, Pwr Comp=OFF	[VAR2] Unit=SMU4:HR, Name=VD, Start=100 mV, Stop=1 V, Step=300 mV, No. of Steps=4, Compliance=5 mA, Pwr Comp=OFF	[CONSTANTS] Unit=SMU1:HR, Name=VS, Source Mode=V, Source=0 V, Compliance=100 mA	[CONSTANTS] Unit=SMU3:HR, Name=Vbg, Source Mode=V, Source=500 mV, Compliance=100 mA
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, VD	0.1,0.4,0.7,1	0.1	0.3	4
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, VTG, ID, VD, Vbg, Ibg, ITG, IS
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, V, A, V, V, A, A, A
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, ExfoliatedMoS2_TGIdVg
Dimension1, 402, 402, 402, 402, 402, 402, 402
Dimension2, 4, 4, 4, 4, 4, 4, 4
DataName, VTG, VD, Vbg, ID, IS, ITG, Ibg
DataValue, -2, 0.1, 0.5, 6.3512000000000008E-10, -6.3609E-10, -5.33E-12, 6.5700000000000005E-12
DataValue, -1.985, 0.1, 0.5, 6.7601E-10, -6.7477E-10, -4.78E-12, 3.4100000000000002E-12
DataValue, -1.9700000000000002, 0.1, 0.5, 6.7623000000000005E-10, -6.8438000000000007E-10, -1.46E-12, 3.5200000000000003E-12
DataValue, -1.955, 0.1, 0.5, 7.0447E-10, -7.071400000000001E-10, -2.6000000000000002E-12, 6E-12
DataValue, -1.9400000000000002, 0.1, 0.5, 7.3373E-10, -7.3242E-10, -2.92E-12, 7.360000000000001E-12
DataValue, -1.925, 0.1, 0.5, 7.3151000000000009E-10, -7.2718000000000007E-10, -2.7000000000000002E-12, 4.9100000000000007E-12
DataValue, -1.9100000000000001, 0.1, 0.5, 7.3498000000000008E-10, -7.4051000000000006E-10, -3.5700000000000003E-12, 8.9E-13
DataValue, -1.895, 0.1, 0.5, 7.6686000000000008E-10, -7.7402000000000008E-10, -8.7E-13, 2.44E-12
DataValue, -1.8800000000000001, 0.1, 0.5, 7.6876E-10, -7.7493E-10, -2.0500000000000004E-12, 4.7000000000000006E-12
DataValue, -1.865, 0.1, 0.5, 7.9633000000000008E-10, -7.9365E-10, -2.39E-12, 6.1800000000000007E-12
DataValue, -1.85, 0.1, 0.5, 8.1702E-10, -8.2010000000000009E-10, -2.0700000000000003E-12, 3.3E-13
DataValue, -1.8350000000000002, 0.1, 0.5, 8.2788E-10, -8.2927000000000007E-10, -3.0800000000000002E-12, -2.9000000000000003E-13
DataValue, -1.82, 0.1, 0.5, 8.307800000000001E-10, -8.4134000000000012E-10, -5.3000000000000006E-13, 2.6000000000000002E-12
DataValue, -1.8050000000000002, 0.1, 0.5, 8.412300000000001E-10, -8.4506000000000008E-10, -1.37E-12, 5.1000000000000005E-12
DataValue, -1.79, 0.1, 0.5, 8.6705E-10, -8.6001000000000011E-10, -2.3200000000000002E-12, 4.16E-12
DataValue, -1.7750000000000001, 0.1, 0.5, 8.9515000000000006E-10, -8.9202000000000009E-10, -1.07E-12, -1.0000000000000002E-14
DataValue, -1.76, 0.1, 0.5, 9.086300000000001E-10, -9.0616000000000011E-10, -3.13E-12, 1.3E-13
DataValue, -1.745, 0.1, 0.5, 9.2960000000000008E-10, -9.1875000000000006E-10, -9.5E-13, 4.5400000000000004E-12
DataValue, -1.73, 0.1, 0.5, 9.5406000000000012E-10, -9.4733E-10, -1.2900000000000002E-12, 4.46E-12
DataValue, -1.715, 0.1, 0.5, 9.7297E-10, -9.7331E-10, -1.78E-12, 2.6000000000000002E-12
DataValue, -1.7000000000000002, 0.1, 0.5, 9.951E-10, -9.9168E-10, -3.7000000000000004E-13, -3.0000000000000005E-14
DataValue, -1.685, 0.1, 0.5, 1.0118000000000002E-09, -1.0072400000000001E-09, -2.3300000000000004E-12, 6.6E-13
DataValue, -1.6700000000000002, 0.1, 0.5, 1.04368E-09, -1.0461200000000001E-09, -6.6E-13, 4E-12
DataValue, -1.655, 0.1, 0.5, 1.06443E-09, -1.0575300000000002E-09, -8.1000000000000008E-13, 3.2700000000000004E-12
DataValue, -1.6400000000000001, 0.1, 0.5, 1.0715600000000002E-09, -1.0768400000000002E-09, -1.8000000000000002E-12, 1.17E-12
DataValue, -1.625, 0.1, 0.5, 1.1088700000000001E-09, -1.10476E-09, 5.7E-13, -5.2E-13
DataValue, -1.61, 0.1, 0.5, 1.11595E-09, -1.1191700000000002E-09, -1.6200000000000002E-12, 6.2000000000000008E-13
DataValue, -1.595, 0.1, 0.5, 1.1659E-09, -1.1518E-09, -5E-13, 4.11E-12
DataValue, -1.58, 0.1, 0.5, 1.1603E-09, -1.1561E-09, -7.9000000000000007E-13, 4.37E-12
DataValue, -1.5650000000000002, 0.1, 0.5, 1.2118E-09, -1.208E-09, -9.000000000000001E-13, 3.1900000000000003E-12
DataValue, -1.55, 0.1, 0.5, 1.21E-09, -1.1964E-09, -4.4000000000000004E-13, 1.3900000000000001E-12
DataValue, -1.5350000000000001, 0.1, 0.5, 1.2533E-09, -1.2684E-09, -1.93E-12, -2.47E-12
DataValue, -1.52, 0.1, 0.5, 1.2966E-09, -1.2992E-09, 7.3E-13, -2.0700000000000003E-12
DataValue, -1.5050000000000001, 0.1, 0.5, 1.3525E-09, -1.3425E-09, -1.5400000000000001E-12, 3.0000000000000005E-14
DataValue, -1.49, 0.1, 0.5, 1.3627E-09, -1.3685E-09, 7E-14, 4.0500000000000007E-12
DataValue, -1.475, 0.1, 0.5, 1.3931E-09, -1.3899E-09, -1.9000000000000002E-13, 3.85E-12
DataValue, -1.46, 0.1, 0.5, 1.4122E-09, -1.4272E-09, -5.7E-13, 3.0600000000000003E-12
DataValue, -1.445, 0.1, 0.5, 1.4278E-09, -1.4207E-09, -5E-13, 5.7E-13
DataValue, -1.4300000000000002, 0.1, 0.5, 1.4492E-09, -1.44E-09, -1.73E-12, -2.21E-12
DataValue, -1.415, 0.1, 0.5, 1.4824E-09, -1.4903E-09, 8.7E-13, -1.64E-12
DataValue, -1.4000000000000001, 0.1, 0.5, 1.5483E-09, -1.5501E-09, -1.4300000000000002E-12, 2.47E-12
DataValue, -1.385, 0.1, 0.5, 1.5922E-09, -1.5913E-09, 8.0000000000000013E-14, 4.1000000000000007E-12
DataValue, -1.37, 0.1, 0.5, 1.6469E-09, -1.6408E-09, 3.9000000000000005E-13, 3.1900000000000003E-12
DataValue, -1.355, 0.1, 0.5, 1.7062E-09, -1.7144E-09, -2.3000000000000003E-13, 3.4500000000000004E-12
DataValue, -1.34, 0.1, 0.5, 1.7355E-09, -1.7176E-09, 0, 8.8000000000000009E-13
DataValue, -1.325, 0.1, 0.5, 1.7601E-09, -1.747E-09, -1.59E-12, -1.17E-12
DataValue, -1.31, 0.1, 0.5, 1.7864E-09, -1.7978E-09, 6.5000000000000006E-13, -1.6700000000000002E-12
DataValue, -1.2950000000000002, 0.1, 0.5, 1.834E-09, -1.8404E-09, -1.4700000000000002E-12, 1.1100000000000001E-12
DataValue, -1.28, 0.1, 0.5, 1.9059E-09, -1.9176E-09, -1.0000000000000002E-14, 3.75E-12
DataValue, -1.2650000000000001, 0.1, 0.5, 1.9435E-09, -1.9181E-09, 4.4000000000000004E-13, 2.8100000000000003E-12
DataValue, -1.25, 0.1, 0.5, 1.9992E-09, -1.9931E-09, 5E-14, 3.6900000000000006E-12
DataValue, -1.235, 0.1, 0.5, 2.0553E-09, -2.0487E-09, 1.5000000000000002E-13, 1.4400000000000001E-12
DataValue, -1.22, 0.1, 0.5, 2.1112E-09, -2.0956E-09, -1.51E-12, -2.18E-12
DataValue, -1.205, 0.1, 0.5, 2.1613E-09, -2.1428E-09, 8.4000000000000006E-13, -2.9400000000000004E-12
DataValue, -1.19, 0.1, 0.5, 2.2007E-09, -2.2126E-09, -1.32E-12, 6.5000000000000006E-13
DataValue, -1.175, 0.1, 0.5, 2.2434E-09, -2.2616E-09, 2.1000000000000001E-13, 2.47E-12
DataValue, -1.1600000000000001, 0.1, 0.5, 2.3151E-09, -2.3057E-09, 6.1E-13, 1.59E-12
DataValue, -1.145, 0.1, 0.5, 2.392E-09, -2.3799E-09, 4.2000000000000003E-13, 3.2400000000000003E-12
DataValue, -1.1300000000000001, 0.1, 0.5, 2.4883E-09, -2.4897E-09, 4.2000000000000003E-13, 3.0000000000000003E-13
DataValue, -1.115, 0.1, 0.5, 2.4938E-09, -2.4896E-09, -1.5300000000000001E-12, -1.96E-12
DataValue, -1.1, 0.1, 0.5, 2.6152E-09, -2.6201E-09, 5.1E-13, -1.4200000000000002E-12
DataValue, -1.085, 0.1, 0.5, 2.6276E-09, -2.6138E-09, -1.7200000000000001E-12, -2.2700000000000002E-12
DataValue, -1.07, 0.1, 0.5, 2.7037E-09, -2.7156E-09, 8.8000000000000009E-13, 1.2800000000000002E-12
DataValue, -1.0550000000000002, 0.1, 0.5, 2.7973E-09, -2.7994E-09, 1.1600000000000001E-12, 2.92E-12
DataValue, -1.04, 0.1, 0.5, 2.8839E-09, -2.8889E-09, 1.02E-12, 4.3000000000000007E-12
DataValue, -1.0250000000000001, 0.1, 0.5, 3.0077E-09, -2.9982E-09, 7.5E-13, 7.7000000000000005E-13
DataValue, -1.01, 0.1, 0.5, 3.0713E-09, -3.0714E-09, -9.6000000000000015E-13, -1.96E-12
